Category,10/1/13,10/2/13,10/3/13,10/4/13,10/5/13,10/6/13,10/7/13,10/8/13,10/9/13,10/10/13,10/11/13,10/12/13,10/13/13,10/14/13,10/15/13,10/16/13,10/17/13,10/18/13,10/19/13,10/20/13,10/21/13,10/22/13,10/23/13,10/24/13,10/25/13,10/26/13,10/27/13,10/28/13,10/29/13,10/30/13,10/31/13,11/1/13
Trips over the past 24-hours (midnight to 11:59pm),42685,43450,42371,42232,36024,27841,26350,40254,38784,32699,34878,34022,30198,34668,39390,38743,38655,39913,31044,30691,36698,38082,33803,33651,32326,25631,25047,32773,34631,36338,32517,31517
Cumulative trips (since launch),3903525,3946975,3989346,4031578,4067602,4095443,4121793,4162047,4200831,4233530,4268408,4302430,4332628,4367296,4406686,4445429,4484084,4523997,4555041,4585732,4622430,4660512,4694315,4727966,4760292,4785923,4810970,4843743,4878374,4914712,4947229,4978746
Miles traveled today (midnight to 11:59 pm),70626.41,73077,70446.4,75074.72,72951.14,49310.75,40197.87,67151.3,60453.16,48977.37,56472.63,69386.36,58253.01,58222.87,64384.11,62567.19,62782.38,67045.43,58542.63,59015.16,61276.03,58309.86,49344.83,49520.22,49095.71,45286.3,44389.52,50799.69,52807.88,53509.93,50981.21,51110.53
Miles traveled to date,7988675.85,8061752.85,8132199.25,8207273.97,8280225.11,8329535.86,8369733.74,8436885.03,8497338.2,8546315.57,8602788.2,8672174.56,8730427.56,8788650.44,8853034.55,8915601.73,8978384.12,9045429.55,9103972.18,9162987.34,9224263.36,9282573.23,9331918.05,9381438.28,9430533.99,9475820.28,9520209.81,9571009.5,9623817.38,9677327.31,9728308.51,9779419.04
Total Annual Members,85494,85773,86333,87112,87862,88604,89189,89521,89769,89951,90121,90301,90522,90770,90977,91171,91343,91551,91659,91815,92029,92213,92324,92410,92505,92598,92698,92844,92944,93035,93137,93221
Annual Member Sign-Ups (midnight to 11:59 pm),258,279,560,779,750,742,585,332,248,182,170,180,221,248,207,194,172,208,108,156,214,184,111,86,95,93,100,146,100,91,102,84
24-Hour Passes Purchased (midnight to 11:59 pm),1004,1129,1076,1434,2971,1368,421,896,714,482,798,2855,2208,1291,934,789,815,1267,2146,2114,849,636,355,444,592,1387,1362,530,450,453,464,848
7-Day Passes Purchased (midnight to 11:59 pm),160,153,146,141,137,105,78,137,98,95,90,162,122,118,145,118,112,122,130,101,93,87,66,69,77,65,98,104,101,73,83,75
